,Comment,Likes,Time,user
0,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
1,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
2,Lecture starts from 36:20,61,2 months ago,
3,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
4,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
5,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
6,Thank you for the course. It's very helpful for me,1,5 months ago,
7,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
8,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
9,lecture starts from 36:30,13,2 months ago,
10,Excelente clase. Saludos desde Perú.,0,4 months ago,
11,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
12,Very nice lecture,3,8 months ago,
13,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
14,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
15,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
16,What are the prerequisites needed for this course?,0,3 weeks ago,
17,a aula começa em 34'15'',1,4 months ago,
18,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
19,How can i get notes for these lectures?,1,2 months ago,
20,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
21,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
22,Lecture starts from 36:20,61,2 months ago,
23,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
24,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
25,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
26,Thank you for the course. It's very helpful for me,1,5 months ago,
27,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
28,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
29,lecture starts from 36:30,13,2 months ago,
30,Excelente clase. Saludos desde Perú.,0,4 months ago,
31,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
32,Very nice lecture,3,8 months ago,
33,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
34,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
35,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
36,What are the prerequisites needed for this course?,0,3 weeks ago,
37,a aula começa em 34'15'',1,4 months ago,
38,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
39,How can i get notes for these lectures?,1,2 months ago,
40,I love Stanford!,8,8 months ago,
41,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
42,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
43,Thanx for the lecture.,0,6 months ago,
44,which book has all the content teaching in this playlist?,0,3 weeks ago,
45,Thank you!,0,6 months ago,
46,I don't think the links for this class work well anymore.,0,3 months ago,
47,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
48,is this the whole course???,0,6 months ago (edited),
49,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
50,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
51,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
52,@52:06 Supervised ML definition.,0,3 months ago (edited),
53,Nice,0,5 months ago,
54,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
55,Should I watch this course or the one in Coursera?,3,7 months ago,
56,Is cs230 online too?,1,3 months ago,
57,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
58,my love is AI,0,4 months ago,
59,15:06,0,7 months ago,
60,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
61,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
62,Lecture starts from 36:20,61,2 months ago,
63,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
64,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
65,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
66,Thank you for the course. It's very helpful for me,1,5 months ago,
67,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
68,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
69,lecture starts from 36:30,13,2 months ago,
70,Excelente clase. Saludos desde Perú.,0,4 months ago,
71,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
72,Very nice lecture,3,8 months ago,
73,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
74,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
75,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
76,What are the prerequisites needed for this course?,0,3 weeks ago,
77,a aula começa em 34'15'',1,4 months ago,
78,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
79,How can i get notes for these lectures?,1,2 months ago,
80,I love Stanford!,8,8 months ago,
81,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
82,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
83,Thanx for the lecture.,0,6 months ago,
84,which book has all the content teaching in this playlist?,0,3 weeks ago,
85,Thank you!,0,6 months ago,
86,I don't think the links for this class work well anymore.,0,3 months ago,
87,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
88,is this the whole course???,0,6 months ago (edited),
89,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
90,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
91,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
92,@52:06 Supervised ML definition.,0,3 months ago (edited),
93,Nice,0,5 months ago,
94,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
95,Should I watch this course or the one in Coursera?,3,7 months ago,
96,Is cs230 online too?,1,3 months ago,
97,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
98,my love is AI,0,4 months ago,
99,15:06,0,7 months ago,
100,45:00,0,5 months ago,
101,his tongue is so good,0,5 months ago,
102,34:10,16,8 months ago,
103,LIT,0,7 months ago,
104,Yes.  Make democracy work better in CHINA!,0,2 weeks ago,
105,Change name for dieing in the machine,0,4 months ago (edited),
106,how many times he used um or uh?,0,6 months ago,
107,Audio recording sucks,0,7 months ago,
108,Yğ,1,5 months ago,
109,吴恩达大佬,5,7 months ago,
110,"using a lot "" um "" and "" uh "" make the course irritating",1,8 months ago,
111,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
112,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
113,Lecture starts from 36:20,61,2 months ago,
114,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
115,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
116,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
117,Thank you for the course. It's very helpful for me,1,5 months ago,
118,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
119,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
120,lecture starts from 36:30,13,2 months ago,
121,Excelente clase. Saludos desde Perú.,0,4 months ago,
122,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
123,Very nice lecture,3,8 months ago,
124,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
125,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
126,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
127,What are the prerequisites needed for this course?,0,3 weeks ago,
128,a aula começa em 34'15'',1,4 months ago,
129,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
130,How can i get notes for these lectures?,1,2 months ago,
131,I love Stanford!,8,8 months ago,
132,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
133,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
134,Thanx for the lecture.,0,6 months ago,
135,which book has all the content teaching in this playlist?,0,3 weeks ago,
136,Thank you!,0,6 months ago,
137,I don't think the links for this class work well anymore.,0,3 months ago,
138,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
139,is this the whole course???,0,6 months ago (edited),
140,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
141,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
142,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
143,@52:06 Supervised ML definition.,0,3 months ago (edited),
144,Nice,0,5 months ago,
145,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
146,Should I watch this course or the one in Coursera?,3,7 months ago,
147,Is cs230 online too?,1,3 months ago,
148,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
149,my love is AI,0,4 months ago,
150,15:06,0,7 months ago,
151,45:00,0,5 months ago,
152,his tongue is so good,0,5 months ago,
153,34:10,16,8 months ago,
154,LIT,0,7 months ago,
155,Yes.  Make democracy work better in CHINA!,0,2 weeks ago,
156,Change name for dieing in the machine,0,4 months ago (edited),
157,how many times he used um or uh?,0,6 months ago,
158,Audio recording sucks,0,7 months ago,
159,Yğ,1,5 months ago,
160,吴恩达大佬,5,7 months ago,
161,"using a lot "" um "" and "" uh "" make the course irritating",1,8 months ago,
162,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
163,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
164,Lecture starts from 36:20,61,2 months ago,
165,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
166,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
167,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
168,Thank you for the course. It's very helpful for me,1,5 months ago,
169,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
170,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
171,lecture starts from 36:30,13,2 months ago,
172,Excelente clase. Saludos desde Perú.,0,4 months ago,
173,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
174,Very nice lecture,3,8 months ago,
175,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
176,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
177,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
178,What are the prerequisites needed for this course?,0,3 weeks ago,
179,a aula começa em 34'15'',1,4 months ago,
180,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
181,How can i get notes for these lectures?,1,2 months ago,
182,I love Stanford!,8,8 months ago,
183,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
184,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
185,Thanx for the lecture.,0,6 months ago,
186,which book has all the content teaching in this playlist?,0,3 weeks ago,
187,Thank you!,0,6 months ago,
188,I don't think the links for this class work well anymore.,0,3 months ago,
189,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
190,is this the whole course???,0,6 months ago (edited),
191,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
192,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
193,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
194,@52:06 Supervised ML definition.,0,3 months ago (edited),
195,Nice,0,5 months ago,
196,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
197,Should I watch this course or the one in Coursera?,3,7 months ago,
198,Is cs230 online too?,1,3 months ago,
199,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
200,my love is AI,0,4 months ago,
201,15:06,0,7 months ago,
202,45:00,0,5 months ago,
203,his tongue is so good,0,5 months ago,
204,34:10,16,8 months ago,
205,LIT,0,7 months ago,
206,Yes.  Make democracy work better in CHINA!,0,2 weeks ago,
207,Change name for dieing in the machine,0,4 months ago (edited),
208,how many times he used um or uh?,0,6 months ago,
209,Audio recording sucks,0,7 months ago,
210,Yğ,1,5 months ago,
211,吴恩达大佬,5,7 months ago,
212,"using a lot "" um "" and "" uh "" make the course irritating",1,8 months ago,
213,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
214,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
215,Lecture starts from 36:20,61,2 months ago,
216,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
217,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
218,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
