,Comment,Likes,Time,user
219,Thank you for the course. It's very helpful for me,1,5 months ago,
220,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
221,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
222,lecture starts from 36:30,13,2 months ago,
223,Excelente clase. Saludos desde Perú.,0,4 months ago,
224,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
225,Very nice lecture,3,8 months ago,
226,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
227,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
228,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
229,What are the prerequisites needed for this course?,0,3 weeks ago,
230,a aula começa em 34'15'',1,4 months ago,
231,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
232,How can i get notes for these lectures?,1,2 months ago,
233,I love Stanford!,8,8 months ago,
234,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
235,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
236,Thanx for the lecture.,0,6 months ago,
237,which book has all the content teaching in this playlist?,0,3 weeks ago,
238,Thank you!,0,6 months ago,
239,I don't think the links for this class work well anymore.,0,3 months ago,
240,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
241,is this the whole course???,0,6 months ago (edited),
242,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
243,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
244,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
245,@52:06 Supervised ML definition.,0,3 months ago (edited),
246,Nice,0,5 months ago,
247,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
248,Should I watch this course or the one in Coursera?,3,7 months ago,
249,Is cs230 online too?,1,3 months ago,
250,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
251,my love is AI,0,4 months ago,
252,15:06,0,7 months ago,
253,45:00,0,5 months ago,
254,his tongue is so good,0,5 months ago,
255,34:10,16,8 months ago,
256,LIT,0,7 months ago,
257,Yes.  Make democracy work better in CHINA!,0,2 weeks ago,
258,Change name for dieing in the machine,0,4 months ago (edited),
259,how many times he used um or uh?,0,6 months ago,
260,Audio recording sucks,0,7 months ago,
261,Yğ,1,5 months ago,
262,吴恩达大佬,5,7 months ago,
263,"using a lot "" um "" and "" uh "" make the course irritating",1,8 months ago,
264,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
265,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
266,Lecture starts from 36:20,61,2 months ago,
267,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
268,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
269,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
270,Thank you for the course. It's very helpful for me,1,5 months ago,
271,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
272,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
273,lecture starts from 36:30,13,2 months ago,
274,Excelente clase. Saludos desde Perú.,0,4 months ago,
275,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
276,Very nice lecture,3,8 months ago,
277,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
278,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
279,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
280,What are the prerequisites needed for this course?,0,3 weeks ago,
281,a aula começa em 34'15'',1,4 months ago,
282,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
283,How can i get notes for these lectures?,1,2 months ago,
284,I love Stanford!,8,8 months ago,
285,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
286,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
287,Thanx for the lecture.,0,6 months ago,
288,which book has all the content teaching in this playlist?,0,3 weeks ago,
289,Thank you!,0,6 months ago,
290,I don't think the links for this class work well anymore.,0,3 months ago,
291,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
292,is this the whole course???,0,6 months ago (edited),
293,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
294,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
295,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
296,@52:06 Supervised ML definition.,0,3 months ago (edited),
297,Nice,0,5 months ago,
298,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
299,Should I watch this course or the one in Coursera?,3,7 months ago,
300,Is cs230 online too?,1,3 months ago,
301,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
302,my love is AI,0,4 months ago,
303,15:06,0,7 months ago,
304,45:00,0,5 months ago,
305,his tongue is so good,0,5 months ago,
306,34:10,16,8 months ago,
307,LIT,0,7 months ago,
308,Yes.  Make democracy work better in CHINA!,0,2 weeks ago,
309,Change name for dieing in the machine,0,4 months ago (edited),
310,how many times he used um or uh?,0,6 months ago,
311,Audio recording sucks,0,7 months ago,
312,Yğ,1,5 months ago,
313,吴恩达大佬,5,7 months ago,
314,"using a lot "" um "" and "" uh "" make the course irritating",1,8 months ago,
315,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
316,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
317,Lecture starts from 36:20,61,2 months ago,
318,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
319,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
320,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
321,Thank you for the course. It's very helpful for me,1,5 months ago,
322,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
323,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
324,lecture starts from 36:30,13,2 months ago,
325,Excelente clase. Saludos desde Perú.,0,4 months ago,
326,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
327,Very nice lecture,3,8 months ago,
328,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
329,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
330,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
331,What are the prerequisites needed for this course?,0,3 weeks ago,
332,a aula começa em 34'15'',1,4 months ago,
333,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
334,How can i get notes for these lectures?,1,2 months ago,
335,I love Stanford!,8,8 months ago,
336,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
337,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
338,Thanx for the lecture.,0,6 months ago,
339,which book has all the content teaching in this playlist?,0,3 weeks ago,
340,Thank you!,0,6 months ago,
341,I don't think the links for this class work well anymore.,0,3 months ago,
342,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
343,is this the whole course???,0,6 months ago (edited),
344,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
345,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
346,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
347,@52:06 Supervised ML definition.,0,3 months ago (edited),
348,Nice,0,5 months ago,
349,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
350,Should I watch this course or the one in Coursera?,3,7 months ago,
351,Is cs230 online too?,1,3 months ago,
352,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
353,my love is AI,0,4 months ago,
354,15:06,0,7 months ago,
355,45:00,0,5 months ago,
356,his tongue is so good,0,5 months ago,
357,34:10,16,8 months ago,
358,LIT,0,7 months ago,
359,Yes.  Make democracy work better in CHINA!,0,2 weeks ago,
360,Change name for dieing in the machine,0,4 months ago (edited),
361,how many times he used um or uh?,0,6 months ago,
362,Audio recording sucks,0,7 months ago,
363,Yğ,1,5 months ago,
364,吴恩达大佬,5,7 months ago,
365,"using a lot "" um "" and "" uh "" make the course irritating",1,8 months ago,
366,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
367,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
368,Lecture starts from 36:20,61,2 months ago,
369,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
370,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
371,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
372,Thank you for the course. It's very helpful for me,1,5 months ago,
373,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
374,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
375,lecture starts from 36:30,13,2 months ago,
376,Excelente clase. Saludos desde Perú.,0,4 months ago,
377,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
378,Very nice lecture,3,8 months ago,
379,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
380,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
381,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
382,What are the prerequisites needed for this course?,0,3 weeks ago,
383,a aula começa em 34'15'',1,4 months ago,
384,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
385,How can i get notes for these lectures?,1,2 months ago,
386,I love Stanford!,8,8 months ago,
387,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
388,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
389,Thanx for the lecture.,0,6 months ago,
390,which book has all the content teaching in this playlist?,0,3 weeks ago,
391,Thank you!,0,6 months ago,
392,I don't think the links for this class work well anymore.,0,3 months ago,
393,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
394,is this the whole course???,0,6 months ago (edited),
395,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
396,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
397,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
398,@52:06 Supervised ML definition.,0,3 months ago (edited),
399,Nice,0,5 months ago,
400,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
401,Should I watch this course or the one in Coursera?,3,7 months ago,
402,Is cs230 online too?,1,3 months ago,
403,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
404,my love is AI,0,4 months ago,
405,15:06,0,7 months ago,
406,45:00,0,5 months ago,
407,his tongue is so good,0,5 months ago,
408,34:10,16,8 months ago,
409,LIT,0,7 months ago,
410,Yes.  Make democracy work better in CHINA!,0,2 weeks ago,
411,Change name for dieing in the machine,0,4 months ago (edited),
412,how many times he used um or uh?,0,6 months ago,
413,Audio recording sucks,0,7 months ago,
414,Yğ,1,5 months ago,
415,吴恩达大佬,5,7 months ago,
416,"using a lot "" um "" and "" uh "" make the course irritating",1,8 months ago,
417,"At times I feel so lucky being born in this age of internet, Otherwise it was no way possible for me to learn from this legend of machine learning for free, looking at this career  across academia and industry , he is a pioneer . It like learning integral calculus from Newton himself.",201,7 months ago,
418,Andrew Ng is a legend. I took his course on Coursera and I wish the course never ended. I have taking a lot of Machine learning courses but none of them compare to Andrew's. He made complex concepts look trivial and established a theoretical background ('Intuition' as he would say).,50,7 months ago,
419,Lecture starts from 36:20,61,2 months ago,
420,I am a 12th-grade student and really interested in machine learning. I did some basic math which is required in machine learning and am starting with this course today. I really liked the fact that the language which is used in this course is python. so excited to learn about this new branch. Will try my best to complete it. THANK YOU STANFORD FOR UPLOADING THESE LECTURES.,58,8 months ago,
421,I just love how humble and friendly this prof is. Big fan,47,7 months ago,
422,the way this man teaches is something which doesn't get you tired. you will watch him teach with a beaming smile on your face.thanks for this great class.,6,5 months ago,
423,Thank you for the course. It's very helpful for me,1,5 months ago,
424,In today's time Andrew Ng is legend by his ML knowledge,3,6 months ago,
425,"05/07/2022 Lecture 1: well-posed learning problem is said to learn from experience E with respect to some task T and some performance measure P, if the performance on T, as measured by P, improves with experience E.  See, not that complex!",3,7 months ago,
426,lecture starts from 36:30,13,2 months ago,
427,Excelente clase. Saludos desde Perú.,0,4 months ago,
428,"Hey question, what math should I exactly understand as a background before I start learning this course?",5,7 months ago,
429,Very nice lecture,3,8 months ago,
430,"When I searched for ML I got this and saw Abdre Ng, I just cliked it instantly. I just now him in face and I knew when I was a 12th grader in 2018 G.C that he is a pretty recognized neural network scientist.",0,19 hours ago,
431,Where can we find the homework and projects for CS 229 ?,0,4 months ago,
432,"Hey Stanford!
Sorry to interrupt, is the CS229 course syllabus currently down? I've been trying to gain access, in order to take a look at the problem sets, but unfortunately I keep encountering a 403 message, that simply states:
""Forbidden:You don't have permission to access /syllabus-autumn2018.html on this server.""
Any help would be sincerely appreciated, cheers!",3,5 months ago,
433,What are the prerequisites needed for this course?,0,3 weeks ago,
434,a aula começa em 34'15'',1,4 months ago,
435,"Heh.  ""Make democracy run better, instead of running worse.""   The problem with that is that most folks define ""democracy running well"" as ""I get what I want.""  I don't think many people really step back and regard it as a system that's supposed to arrive at reasonable compromises among diverse points of view.  If we did a better job of that we wouldn't be at each other's throats all the time.",0,4 months ago,
436,How can i get notes for these lectures?,1,2 months ago,
437,I love Stanford!,8,8 months ago,
438,"This profeessor seems like a really nice guy, and very knowledgeable. I do have a question, and hopefully someone can help me understand without calling me a racist.... Because I'm not. Why is it that all engineering schools are filled with Asians.... Chinese and Indians mainly. Same thing with Med school.",3,6 months ago,
439,im starting this course today... can someone who has finished this course give me the review of this playlist,1,4 months ago,
440,Thanx for the lecture.,0,6 months ago,
441,which book has all the content teaching in this playlist?,0,3 weeks ago,
442,Thank you!,0,6 months ago,
443,I don't think the links for this class work well anymore.,0,3 months ago,
444,Lecture notes are not available to download. Can it be requested?,5,8 months ago,
445,is this the whole course???,0,6 months ago (edited),
446,"Well I couldn’t get the book he mentioned from the site, any help",0,3 months ago,
447,虽然我很喜欢这个老师，但百度在中国还是很坑爹的，用AI算法怎么坑你,0,2 months ago,
448,"Wow his accent has American, British, Australian and Singaporean features with equal weighting, seriously! Pun intended",3,6 months ago (edited),
449,@52:06 Supervised ML definition.,0,3 months ago (edited),
450,Nice,0,5 months ago,
451,introduction till 36:20thats when the lecture starts thank me later,5,3 months ago,
452,Should I watch this course or the one in Coursera?,3,7 months ago,
453,Is cs230 online too?,1,3 months ago,
454,"Sorry for an unrelated question, it it just me or Mr. Ng is pronouncing 'CS-two-three-nine' when he say 'CS229'?",1,6 months ago,
455,my love is AI,0,4 months ago,
456,15:06,0,7 months ago,
457,45:00,0,5 months ago,
458,his tongue is so good,0,5 months ago,
459,34:10,16,8 months ago,
460,LIT,0,7 months ago,
461,Yes.  Make democracy work better in CHINA!,0,2 weeks ago,
462,Change name for dieing in the machine,0,4 months ago (edited),
463,how many times he used um or uh?,0,6 months ago,
464,Audio recording sucks,0,7 months ago,
465,Yğ,1,5 months ago,
466,吴恩达大佬,5,7 months ago,
467,"using a lot "" um "" and "" uh "" make the course irritating",1,8 months ago,
